SMILES,Min_PE
Oc1cc(Br)cc(C=O)c1,-1739.74344
CCC(O)(COC(N)=O)c1ccccc1,-2626.41988
CC(O)C(O)=O,-1336.1466699999999
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-3126.5709899999997
OC(=O)c1c(Cl)cccc1Cl,-2038.4818899999998
OC(=O)c1c(Cl)ccc(Cl)c1Cl,-2291.87932
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-3286.16811
S=C1N=CNc2nc[nH]c12,-1588.54638
CNCCCN1c2ccccc2CCc3ccccc13,-2879.8674
CN(C)CCC=C1c2ccccc2CCc3ccccc13,-2952.84053
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,-7622.09532
NCCc1c[nH]c2ccc(O)cc12,-2057.758410000001
OCC(O)C(O)C(O)C(O)CO,-2698.51124
OC(=O)c1cc(Cl)c(Cl)cc1Cl,-2291.86008
OC(=O)c1ccc(Cl)cc1Cl,-2038.47634
OCC1OC(O)C(O)C(O)C1O,-2671.28304
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4214.58456
[nH]1cnc2ccccc12,-1312.53976
BrC1=CNC(=O)NC1=O,-1717.84612
CN1[C@@H]2CC(C[C@H]1C3OC23)OC(=O)[C@H](CO)c4ccccc4,-3737.2902200000003
CNC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O,-4684.85309
CNC[C@H](O)c1ccc(O)c(O)c1,-2353.03644
CCCC1=CC(=O)NC(=S)N1,-1840.00415
COc1ccc(NC(C)=O)cc1,-2030.86475
CN(CCCl)CCCl,-1482.96176
CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,-3966.16066
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,-4739.64758
S=[P](N1CC1)(N2CC2)N3CC3,-1808.24108
CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-2758.86866
NC(CS)C(O)=O,-1417.21742
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,-3099.49905
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,-2922.3344
C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CCC4=O,-3331.11869
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,-3303.7157899999997
COc1ccc2n(c(C)c(CC(O)=O)c2c1)C(=O)c3ccc(Cl)cc3,-4184.14229
CN1CCC[C@H]1c2cccnc2,-1789.3885699999994
OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,-3327.08081
NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2,-5502.99443
CN(C)c1ccc(cc1)N=Nc2cccc(C)c2,-2628.9033
CC(C)O[P](F)(=O)OC(C)C,-2457.6939199999997
CC1=CC(=O)NC(=S)N1,-1540.1448699999999
NCCCC(O)=O,-1390.36376
C[C@@]12[C@H]3CC[C@H](O3)[C@]1(C)C(=O)OC2=O,-2571.67243
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,-3742.6567700000014
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O,-6750.94447
CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C,-4034.39942
OCC(O)CO,-1362.6417099999999
NC(CC(O)=O)C(O)=O,-1954.2298600000001
N[C@@H](CCC(N)=O)C(O)=O,-2008.7331800000002
NC(CCC(O)=O)C(O)=O,-2104.1608100000008
NCCCCC(N)C(O)=O,-1889.7274699999998
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-2807.1620199999998
OCC(O)CO[P](O)(O)=O,-2441.03858
C=CCN=C=S,-920.5413800000001
CCCCCCCCCCCCCCCCCC(O)=O,-3290.1024399999997
CN(C)N,-725.38115
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-2967.39426
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,-2902.79495
OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,-2671.07995
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-5019.56304
CC(O)CO,-1067.49793
O=C1CCO1,-1012.2760199999999
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,-3370.69175
NC(N)=N[S](=O)(=O)c1ccc(N)cc1,-2507.47572
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-3444.7176799999997
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-4021.84616
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-4234.94506
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@H]2O,-3126.60341
CN=C1CN(O)C(=C2C=C(Cl)C=CC2=N1)c3ccccc3,-3272.01639
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,-3782.4376
OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23,-3610.68245
OC1COC(O)C(O)C1O,-2225.85128
OCC1OC(O)C(O)C(O)C1O,-2671.34101
CCN(CC)C(=O)c1cccnc1,-2085.13113
O=C1Nc2ccccc2C=C1,-1681.5078800000001
Nc1ccc(cc1)[S](=O)(=O)Nc2cnc3ccccc3n2,-3393.26497
Cc1ccccc1OCC(O)CO,-2303.16479
Cc1cc(O)ccc1Cl,-1516.7753699999994
CSCCC(N)C(O)=O,-1716.9486
OCC(S)CS,-1125.6344800000004
OCC1OC(O[P](O)(O)=O)C(O)C(O)C1O,-3749.5957299999995
O=NN1CCOCC1,-1560.4716
NC(Cc1ccc(O)c(O)c1)C(O)=O,-2621.69076
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,-4180.71315
Nc1ccc(cc1)N=Nc2ccccc2,-2179.3995
NC(Cc1ccc(O)cc1)C(O)=O,-2326.49395
OCCS,-798.89273
NCCCCCC(O)=O,-1690.37235
CNN,-575.6036799999998
CC(N)=O,-795.3860900000003
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,-5762.04204
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-3475.9220600000012
COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,-3501.7619299999997
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(O)=O)C(O)C3O,-4589.87555
Cc1cccc(Nc2ccccc2C(O)=O)c1C,-2822.3485
Nc1[nH]ncn1,-1043.48084
CC(C)CC(N)C(O)=O,-1690.31088
CC(C)(N)C(O)=O,-1390.43019
C/C=C(/C)C(=O)O[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(O)C[C@H](O)[C@@]6(O)[C@@H](CN7C[C@@H](C)CC[C@H]7[C@@]6(C)O)[C@]5(O)C[C@]24O[C@]13O,-7438.751279999998
CO[P](=O)(OC)OC=C(Cl)Cl,-2478.36252
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-5019.91851
COC(=O)C1=CCCN(C)C1,-1934.8282600000002
NC(Cc1ccccc1)C(O)=O,-2031.1019199999998
CNC(=O)Oc1cccc(c1)C(C)C,-2330.9109399999998
CCO,-622.1974
OC=O,-740.66998
CC(O)=O,-890.9735199999999
CCC(C)C(C)(COC(N)=O)COC(N)=O,-3053.65558
COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O,-4995.7729899999995
CSCCC(NC(C)=O)C(O)=O,-2285.54144
N[C@@H](Cc1cc(I)c(O)c(I)c1)C(O)=O,-2745.95586
c1cnc2c(c1)ccc3cccnc23,-1953.34097
Cc1ncc(CO)c(C=O)c1O,-2175.99712
CO,-472.05415
CC(C)O,-772.27135
CC(C)=O,-745.18259
C[S](C)=O,-798.3277400000003
CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3,-3692.7253
OC(=O)CS,-1067.62023
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,-3397.7633600000013
Nc1ccc(cc1)[S](=O)(=O)Nc2ncccn2,-2875.31565
O=C1N=CNc2nc[nH]c12,-1707.48935
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,-4138.46181
OCC(O)C(O)C(O)C(O)CO,-2698.39237
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-5019.93806
O=C1NC(=O)C2=C(N1)NC(=O)N2,-2299.75935
Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,-3870.08685
NC(CC(N)=O)C(O)=O,-1858.77687
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,-7198.505990000002
NC(Cc1[nH]cnc1)C(O)=O,-2007.8886300000001
CCCO,-772.08727
NC1=CC=NC(=O)N1,-1412.91459
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4,-9741.68094
CC(O)C(N)C(O)=O,-1685.74123
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-3475.82652
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-3558.5058700000004
Oc1ccc2C(=O)c3ccccc3C(=O)c2c1O,-3007.85355
CCc1ccc(cc1)C(C(Cl)Cl)c2ccc(CC)cc2,-3015.3619
NC(Cc1c[nH]c2ccccc12)C(O)=O,-2476.21198
Nc1ncnc2nc[nH]c12,-1611.75207
CC[C@H](C)[C@H](N)C(O)=O,-1690.26873
N[S](=O)(=O)c1cc2c(NC(Cc3ccccc3)N[S]2(=O)=O)cc1C(F)(F)F,-5522.29206
CCC1NC(=O)c2cc(c(Cl)cc2N1)[S](N)(=O)=O,-3279.28815
NC(CCCN=C(N)N)C(O)=O,-2262.1812800000002
C,-177.04321000000004
CC,-326.96495
C=C,-298.91775
C#C,-270.90303
CN,-376.47584
C#N,-321.71605
CCC,-476.93159
CC#C,-421.1423
ClC=C,-552.45623
CCN,-526.4051099999998
CC#N,-471.97798
NC=O,-645.0937
ON=C,-643.30539
CSC,-503.53036
C1CO1,-593.5206599999998
BrC(Br)Br,-803.3960400000003
