SMILES,Min_PE
CC(C)(C)CO,-1072.15102
CN=C=S,-648.45249
C1OCOCO1,-1334.94203
CC(N)=O,-795.38328
CC(O)CNCC(C)O,-1716.92291
NC(=O)C=C,-917.33711
NC(N)=S,-726.24393
COC(=O)C(=O)OC,-1753.15516
NCC(O)=O,-1090.45562
NCCC(O)=O,-1240.48093
CC(C)(N)C(O)=O,-1390.45648
C\C=C\C(O)=O,-1163.133
OC(O)C(Cl)(Cl)Cl,-1677.86336
CC(C)C1CCC(C)CC1O,-1794.9431
NC(=N)NC#N,-1043.30927
OC1COC(O)C(O)C1O,-2226.20966
CCCCOC(N)=O,-1540.43232
CC1=CCC(CC1)C(C)(C)O,-1767.38095
CC(N)C(O)=O,-1240.48231
CC(C)COC(N)=O,-1540.4762
CC(=C)C1CC=C(C)C(O)C1,-1739.73886
S=C1NCCN1,-998.61931
CC(C)(C)OC(N)=O,-1540.74897
CCCCCCCCCCCCCCO,-2421.51068
NCCCCCC(O)=O,-1690.38231
OCC(O)C(O)C(O)C(O)CO,-2698.462
CC1(C)C2CCC1(C)C(O)C2,-1767.22471
CCC(N)C(O)=O,-1390.37944
CC1OC(C)OC(C)OC(C)O1,-2380.54987
OCC1OC(O)C(O)C(O)C1O,-2671.21743
CCNC(=S)NCC,-1325.77309
C\C=C\C=C\C(O)=O,-1435.40373
NC(CO)C(O)=O,-1535.50769
OC(=O)CC(O)=O,-1604.67132
OC(=O)C(Cl)(Cl)Cl,-1650.58263
CC(C)C(N)C(O)=O,-1540.22186
CCCCCCCCCC(O)=O,-2090.54386
NC(N)=N[N+]([O-])=O,-1509.34561
OC(=O)C1CCCN1,-1513.06704
CCCCC(N)C(O)=O,-1690.32161
CC(C)CC(N)C(O)=O,-1690.3598
CC1(C)C2CCC1(C)C(=O)C2,-1740.15834
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-1846.88421
NC(CS)C(O)=O,-1417.17034
OC(=O)CCCC(O)=O,-1904.82918
CCCCCCCCCCCC(O)=O,-2390.55891
OC(=O)/C=C/C(O)=O,-1726.76418
OC(=O)CCC(O)=O,-1754.75887
CC(C)(S)C(N)C(O)=O,-1717.18004
OC1CNC(C1)C(O)=O,-1808.36986
CC(O)C(N)C(O)=O,-1685.73809
CCN(N=O)C(N)=O,-1611.34782
CSCCC(N)C(O)=O,-1716.96232
OC(=O)CCCCC(O)=O,-2054.72499
CCCCCCCCCCCCCC(O)=O,-2690.41666
NC1=N[NH]C=N1,-1043.46879
NC(CC(N)=O)C(O)=O,-1858.60537
CCCCCCCCCCCCCCCC(O)=O,-2990.21404
OC(CC(O)=O)C(O)=O,-2049.88185
OC(=O)CCCCCCCC(O)=O,-2504.62367
CN(C)C(=S)SSC(=S)N(C)C,-1977.86122
CC(C)N(C(C)C)C(=O)SC\C(Cl)=C\Cl,-2650.53601
OC1=CC=CC=C1,-1112.87979
CCCCCCCCCCCCCCCC(=O)OC,-3139.76057
NC(CCC(N)=O)C(O)=O,-2008.76675
NC(CCC(O)=O)C(O)=O,-2104.31103
CNC(=O)O\N=C\C(C)(C)SC,-2187.90724
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.84001
CCC1(CC)C(=O)NCC(C)C1=O,-2235.80994
CC1=CC(=O)NO1,-1334.18722
[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O,-3328.68647
NC(CCCNC(N)=N)C(O)=O,-2262.06765
CCCCCCCCCCCCCCCCCC(=O)OC,-3439.59252
CNC(=O)O\N=C(\C)SC,-1887.89377
[O-][N+](=O)OC1COC2C(COC12)O[N+]([O-])=O,-3571.76081
CC1=CC=C(O)C=C1,-1263.15096
CC1=C(O)C=CC=C1,-1263.11712
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-2903.91155
CC1(C)C(=O)NC(=O)NC1=O,-2105.00356
NC1=CC=C(N)C=C1,-1217.36638
NC1=CC(=CC=C1)N,-1217.55459
NC1=C(N)C=CC=C1,-1217.32308
CC1=CC=C(CO)C=C1,-1413.03668
CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,-3080.57814
CN(C)NC(=O)CCC(O)=O,-2157.48772
O=C1NC(=O)C2(CC2)C(=O)N1,-2076.83717
OC1=CC=C(O)C=C1,-1408.38735
CCCCCCCCCCNC(=O)NC1CCCCC1,-3217.20346
OC1=CC(=CC=C1)O,-1408.52605
OC1=C(O)C=CC=C1,-1408.34118
CCC1=CC=C(O)C=C1,-1413.09076
CCN(CC)C(=S)SSC(=S)N(CC)CC,-2577.70032
CCCC(C)(COC(N)=O)COC(N)=O,-2903.7431
CCC1(C)C(=O)NC(=O)NC1=O,-2254.89657
NC1=NC(=O)NC=C1,-1412.99691
CC1=CC(=CC(=C1)O)C,-1413.36809
CC1=C(C)C=C(O)C=C1,-1413.28052
CC1=CC(=C(C)C=C1)O,-1413.28876
OCC1=C(O)C=CC=C1,-1558.26859
CC1=C(C)C(=CC=C1)O,-1413.24219
CC1=CC=CC(=C1O)C,-1413.23307
O=C1NNC(=O)C=C1,-1507.32411
O=C1NC=CC(=O)N1,-1509.08567
O=C1NC(=O)C2(CCC2)C(=O)N1,-2227.15545
CC1=CC(=C(C)C=C1C)C,-1418.09383
NC(=O)C1=CC=CC=C1,-1435.91667
ClC1=CC=C(Cl)C=C1,-1324.66731
OC(=O)C1=CC=CC=C1,-1531.51262
CCC1(CC)C(=O)NC(=O)NC1=O,-2404.85111
OC1=CC=C(C=O)C=C1,-1530.9158
CC1(CC=C)C(=O)NC(=O)NC1=O,-2376.98377
OC1=CC=CC(=C1)C=O,-1530.68941
NC(=O)C1=CC=CN=C1,-1485.63203
OC(=O)CC(O)(CC(O)=O)C(O)=O,-2913.73158
OC(=O)C1=CN=CC=C1,-1581.25534
NC(=O)C1=CN=CC=N1,-1535.24936
CC1=CC(=C(C)C(=C1)C)O,-1563.39721
CC1=CC(=C(O)C(=C1)C)C,-1563.36999
CC1=C(O)C=CC(=C1)Cl,-1516.68536
CC1=C(Cl)C=CC(=C1)O,-1516.77526
CC1=CNC(=O)NC1=O,-1659.17833
OC1=CC(=CC(=C1)O)O,-1704.04761
O=C1NC(=S)NC=C1,-1389.90377
CCCC1(CC)C(=O)NC(=O)NC1=O,-2554.81314
OC1=C(O)C(=CC=C1)O,-1703.37722
CCC(C)C1=CC=C(O)C=C1,-1712.93606
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2554.75402
CCC1(CC=C)C(=O)NC(=O)NC1=O,-2526.94584
CC1=C(C)C(=C(C)C(=C1)C)C,-1568.06865
CC(=O)NC1=CC=CC=C1,-1585.95646
FC1=CNC(=O)NC1=O,-1960.9611
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2554.5023
O=C1NC(=O)C2(CCCCC2)C(=O)N1,-2527.5526
CNC(C)C(O)C1=CC=CC=C1,-1912.25166
OC(=O)CC1=CC=CC=C1,-1681.57668
CC(C)(C)C1=CC=C(O)C=C1,-1712.9819
CC1=CC=C(C=C1)C(O)=O,-1681.69904
CC1=CC=CC(=C1)C(O)=O,-1681.66698
CCC1(CC)C(=O)NC(=S)NC1=O,-2285.62415
OC(=O)C1=CSC=C1,-1435.40663
CC1=C(C=CC=C1)C(O)=O,-1681.63468
CC(C)C1=C(O)C=C(C)C=C1,-1713.17427
CCCCC1(CC)C(=O)NC(=O)NC1=O,-2704.69138
CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,-2677.36432
NC(=O)OCC1=CC=CC=C1,-1881.17502
COC1=NN(CS[P](=S)(OC)OC)C(=O)S1,-3145.88979
OC1=CC=C(Br)C=C1,-1321.82317
OC(=O)C1=CC=C(F)C=C1,-1983.7476
OC1=CC(=CC=C1)Br,-1321.97503
NNC(=O)C1=CC=NC=C1,-1684.50898
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2704.69215
OC(=O)C1=C(F)C=CC=C1,-1983.66714
NC1=CC=C(C=C1)C(O)=O,-1731.59052
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2704.39167
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2676.90414
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2649.04606
OC(=O)C1=CC=C(O)C=C1,-1826.84625
NC1=C(C=CC=C1)C(O)=O,-1731.26774
CC1=CC=C(C=C1)N=C=S,-1439.43389
NC(=O)C1=C(O)C=CC=C1,-1731.38998
OC(=O)C1=CC(=CC=C1)O,-1826.77926
OC1=C(Cl)C=CC(=C1)Cl,-1620.00452
CCCCCC1(CC)C(=O)NC(=O)NC1=O,-2854.5573
ClC1=CC=C(Br)C=C1,-1280.06273
NC1=CC(=CC=C1)[N+]([O-])=O,-1777.96666
OC1=C(Cl)C=CC=C1Cl,-1619.95157
OC(=O)C1=C(O)C=CC=C1,-1827.11366
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2854.68082
CCNC(=O)NC(=O)C(=N/OC)/C#N,-2624.11958
OC1=CC=C(C=C1)[N+]([O-])=O,-1873.52026
NC1=C(C=CC=C1)[N+]([O-])=O,-1778.12008
OC(=O)/C=C/C1=CC=CC=C1,-1803.76346
CC1=C(C)C(=C(C)C(=C1C)C)C,-1718.02998
CC(=O)NC1=CC=C(C)C=C1,-1736.08725
OC1=CC(=CC=C1)[N+]([O-])=O,-1873.26857
CC(=O)NC1=CC(=CC=C1)C,-1736.11886
CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,-3631.09948
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2827.19078
CCCCCC(O)/C=C/C1C(O)CC(O)C1C\C=C\CCCC(O)=O,-4393.6335
CN(C(C)=O)C1=CC=CC=C1,-1735.56609
OC1=C(C=CC=C1)[N+]([O-])=O,-1873.29075
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2854.53804
O=C1NC(=S)NC(=O)C12CCCCC2,-2408.48496
CCC(=O)C1=CC=C(N)C=C1,-1735.66226
CC12CCC3C(CC=C4CC(O)CCC34C)C1CCC2=O,-3303.84977
