SMILES,Min_PE
CC(C)C,-626.93471
CCC(C)(C)C,-926.85468
CC(C)C(C)C,-926.80985
CCC(C)CC,-926.79842
CC1CCCC1,-899.65818
CCCC,-626.90104
CCCCC,-776.83741
CCCCCC,-926.83043
C1CCCCC1,-899.70657
CCCCCCCC,-1226.67629
CCCCCCCCCCCC,-1826.51231
CCCCCCC,-1076.76926
C1CCCC1,-749.64285
C1CCCCCCC1,-1199.26236
CC(C)(C)C,-776.96399
CCCCCCCCCCCCCC,-2126.31642
ClC(Cl)(Cl)Cl,-1190.01634
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.6227
ClC(Cl)Cl,-936.7839
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-1846.88415
CC(Cl)(Cl)Cl,-1087.24546
CBr,-385.87371
CCl,-430.304
CI,-386.88251
BrCBr,-594.64585
CCBr,-535.91183
ClCBr,-639.06042
CCCl,-580.44981
CCI,-536.79184
ClCCl,-683.5439
ICI,-596.55278
CC(C)Cl,-730.62197
CC(Cl)Cl,-833.87389
CC(F)F,-1231.40999
FC(Cl)Cl,-1135.77055
FC(F)Cl,-1334.78136
FC(F)F,-1533.78928
FC(F)(F)Br,-1742.80872
FC(Cl)(Cl)Cl,-1389.17907
FC(F)(Cl)Cl,-1588.33355
FC(F)(F)Cl,-1787.45546
ClC(Cl)C(Cl)(Cl)Cl,-1593.64247
FC(F)(Cl)C(F)(Cl)Cl,-2443.92895
FC(F)(Cl)C(F)(F)Cl,-2642.91502
ClCC(Cl)Cl,-1087.12632
ClC(Cl)C(Cl)Cl,-1340.38283
BrCCBr,-744.76654
CCCBr,-685.86504
ClCCCl,-833.78961
BrC1CCCCC1,-1108.7335
CCCCBr,-835.77268
CCCCCl,-880.3843
ClCCCBr,-939.34582
CCCCCBr,-985.80045
CCCCCCBr,-1135.75746
CCCCCCCCBr,-1435.63359
ClCCCCl,-983.81084
FC(F)(F)C(Cl)Br,-2146.15997
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.80932
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.4278
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.69927
CCCCl,-730.43176
CF,-628.74527
CCCCCCCBr,-1285.7194
CCCCCCCCl,-1330.25037
CCCCCCCI,-1286.65302
CCC=C,-599.03968
C=CC=C,-571.18785
C1CCC=CC1,-872.00973
CCCCCCC=C,-1198.8832
CC(C)=C,-599.25883
CCCCCCCC=C,-1348.81378
C1C=CC=CC=C1,-966.6235
C\C=C/C,-599.19781
C=CCC=C,-721.13845
CCCCC=C,-898.91781
C=CCCC=C,-871.0922
CCCCCC=C,-1048.85817
C\C=C\C,-599.24157
C1C=CCC=C1,-844.34299
ClC(Cl)=C,-805.84305
FC(F)=C,-1203.5461
ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl,-2214.49817
