SMILES,Min_PE
NC(=O)C1=CN=C2N1CCC1=C(C=CC=C1)C21CCNCC1,-3397.93057
CC1=C2C=CC=CC2=C(CN2CCOCC2)C2=C1C=CC=C2,-3220.7996
C1C[N+]2(CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75)O,-4144.86043
CN1C2=C(C=CC=C2)SC2=C1C=CC=C2,-2107.88912
O=C(O)CNC(=O)C1=CC=CC=C1,-2299.54184
C1=CC=C(C2=NC3N=CN=CC3=N2)C=C1,-2200.76581
C1=CC2=C(C=C1Cl)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],-3138.76119
O=C(O)CC1=C(C2=CC=C(Cl)C=C2)N=C(C2=CC=CC=C2)S1,-3470.31924
CCOC1=NO[N+](=C1S(=O)(=O)C2=CC=CC=C2)[O-],-3383.85951
CCOC(=O)C1=CC=C(O)C=C1,-2126.61979
CCCOC(=O)C1=CC=C(O)C=C1,-2276.54156
O=C1CC(=O)CC(C2=CC=CC=C2)C1,-2226.76472
CCCCOC(=O)C1=CC=C(O)C=C1,-2426.52719
COC(=O)C1=CC=C(C(=O)OC)C=C1,-2544.42988
CC1=CC=C(S(=O)(=O)N(Cl)Cl)C=C1,-2439.28209
O=C(O)COC1=C(Cl)C=C(Cl)C=C1Cl,-2736.78794
CCC1OC(=O)C2=C1C=CC(C#N)=C2,-2248.72308
CCNC1=NC(NCC)=NC(SC)=N1,-2293.59846
O=P1(N(CCCl)CCCl)NCCCO1,-2736.99047
CC1=NC2=C(C=CC=C2)N=C(C)C1,-1885.17841
CC1=CC2=C(C=C1)S(=O)(=O)C=C2,-1980.06613
CCCCOC(=O)C1=CC=C(N)C=C1,-2331.06611
CC1=CC(=O)OC2=C3CCCN4CCCC(=C34)C=C12,-2972.13408
CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,-3273.50067
CCSC(=O)N1CCCCCC1,-1994.21818
CC1=CS(=O)(=O)C2=C1C=CC=C2,-1980.06001
CC1(C)SCC(COC(N)=O)S1,-2166.83919
CCOC(=O)C1=C(C)C=C(C)N1,-2058.37011
NC(=O)OCC1COC2(CCCCC2)O1,-2826.45008
NC(=O)OCC1CSC2(CCCCC2)S1,-2589.45581
NC(=O)N1C2=C(C=CC=C2)C=CC2=C1C=CC=C2,-2671.6388
CC1=CC2=CC3=C(C=C2O1)OC(=O)C=C3C,-2617.05667
CC1=CC2=CC=CC(O)=C2N=C1C,-1981.34875
O=C(O)C1=NC2=CC=CC=C2C=C1,-2099.18008
O=C(O)C1=CC=C2N=CC=CC2=C1,-2099.46882
C1=CC2=C(C=C1)C1=C(C=NC=C1)N2,-1830.84536
O=S(=O)(C1=CC=CC=C1)N(Br)Br,-2199.91903
NC(=O)OCC1CSC2(CCCCC2)O1,-2707.85094
O=C(O)C1=C2N=CC=CC2=CC=C1,-2099.2991
O=C(O)C1=C2C=CC=NC2=CC=C1,-2099.37231
CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(C=CC=C2)OC1=O,-3730.64617
CC(C)C1OCC2(CO1)COC(C(C)C)OC2,-3102.65739
COC1=CC(OC)=CC(OC)=C1,-2152.56916
CCCCOC(=O)C1=CN=CC=C1,-2180.77349
CSC1=NC2=NC=NC=C2N=C1,-1861.24339
CSC1=NC=C2N=CC=NC2=N1,-1860.94336
CC1=NC=C2N=C(C)C(C)=NC2=N1,-1984.79049
O=C(O)CCN1C=CC=CC1=O,-2176.86453
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-4434.01351
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-4461.91204
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-4435.04748
O=P1(N(CCCl)CCCl)NCCCCO1,-2886.92159
CC1(C)N=C(C2=CC=CC=C2)NC1=O,-2180.72538
C1OC2=C(O1)C=C(C(=C2)CO)[N+](=O)[O-],-2735.9853
COC(=O)C1=C(C(=O)C2=CC=CC=C2)C=CC=C1,-2889.61632
C1=CC=C(CNC23OC4C5C6CC(C7C6C4C72)C53)C=C1,-2947.73757
CCC1=NC2=CN=CN=C2N=C1CC,-2134.44018
CC1=NN(C2=CC=CC=C2)C(N)=C1,-1934.14279
CC1(C)OC(=O)C2=C1C=CC(C#N)=C2,-2248.87398
CSC1=C2N=CC=NC2=NC=N1,-1861.19403
COC1=CC2=C(C=CC(=O)O2)C=C1,-2221.43596
C=CCC1=CC=C2C=NC=NC2=C1O,-2152.71139
CCOS(=O)(=O)C1=CC=CC=C1,-2180.06848
CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2,-2748.86933
CN(C)C1=NC=C2N=CC=NC2=N1,-2033.83179
CN(C)C1=NC2=NC=NC=C2N=C1,-2033.87045
C1=CC2=C(C=C1)SC1=C(C=CC=C1)N2,-1958.30644
O=C(O)CC1=CNC2=C1C=CC=C2,-2126.78065
COC1=C(OC)C2=C(COC2=O)C(Br)=C1,-2752.28517
CC1=NC=CC2=C1NC1=C2C=CC=C1,-1980.98847
CC1=NN(C2=CC=CC=C2)C(N)=C1C,-2084.20488
CCC1(CC)CCC(=O)NC1=O,-2086.36336
CCOC(=O)C1=CNC(=S)N=C1,-2107.24076
O=S1(=O)C2=C(C=CC=C2)C2=C1C=CC=C2,-2348.5005
CCCC1=NC=NC2=C(O)C=CC=C12,-2180.8632
