SMILES,Min_PE
CCC(CC)O[N+]([O-])=O,-1831.59518
Oc1cc(Br)cc(C=O)c1,-1739.74402
[H+].[Cl-].CCOC(=O)C1(CCN(C)CC1)c2ccccc2,
CCC(O)(COC(N)=O)c1ccccc1,-2626.39634
CC(O)C(O)=O,-1336.12692
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-3126.67126
OC(=O)c1c(Cl)cccc1Cl,-2038.33855
OC(=O)c1c(Cl)ccc(Cl)c1Cl,-2291.88031
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-3286.16739
S=C1N=CNc2nc[nH]c12,-1588.54637
CNCCCN1c2ccccc2CCc3ccccc13,-2879.84251
CN(C)CCC=C1c2ccccc2CCc3ccccc13,-2952.76416
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,-7621.90386
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,-3789.47489
NCCc1c[nH]c2ccc(O)cc12,-2057.7816
OCC(O)C(O)C(O)C(O)CO,-2698.44802
OC(=O)c1cc(Cl)c(Cl)cc1Cl,-2291.85956
OC(=O)c1ccc(Cl)cc1Cl,-2038.47691
OCC1OC(O)C(O)C(O)C1O,-2671.19655
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4214.50072
[nH]1cnc2ccccc12,-1312.53972
BrC1=CNC(=O)NC1=O,-1717.84609
CN1[C@@H]2CC(C[C@H]1C3OC23)OC(=O)[C@H](CO)c4ccccc4,-3737.61343
CNC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O,-4688.01664
CNC[C@H](O)c1ccc(O)c(O)c1,-2352.84658
CCCC1=CC(=O)NC(=S)N1,-1840.06102
COc1ccc(NC(C)=O)cc1,-2030.85887
CN(CCCl)CCCl,-1483.11429
CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,-3966.12569
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,-4739.30766
S=[P](N1CC1)(N2CC2)N3CC3,-1808.24202
OCC(Br)(CO)[N+]([O-])=O,-2036.56059
CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-2758.8685
NC(CS)C(O)=O,-1417.12183
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,-3099.56788
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,-2922.30675
C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CCC4=O,-3331.3054
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,-3303.7109
