SMILES,Min_PE
C1=CC2=C3C(=C1)C=CC3=CC=C2,-1580.57484
CC(N)=O,-795.38409
CC#N,-471.97796
CC(=O)C1=CC=CC=C1,-1385.73183
C=CC=O,-716.77589
C=CC=O,-716.77596
C=CC(N)=O,-917.33691
C=CC#N,-593.96642
CCCCCOC(C)=O,-1640.41613
CCC(C)(C)C1=CC=CC=C1,-1567.40551
CC12CCCC1C1CCC3CC(=O)C(=O)CC3(C)C1CC2,-3303.29776
COC1=CC=CC=C1,-1262.53549
C1=CC=C2C=C3C=CC=CC3=CC2=C1,-1853.92812
O=C1C2=CC=CC=C2C(=O)C2=C1C=CC=C2,-2417.43791
O=CC1=CC=CC=C1,-1235.41099
NC(=O)C1=CC=CC=C1,-1435.91657
C1=CC=CC=C1,-817.56193
C1=CC=C2C(=C1)C=CC1=C2CC2=C1C=CC=C2,-2249.52777
C1=CC=C2C(=C1)C=C1C=CC3=CC=CC4=CC=C2C1=C34,-2618.16359
C1=CC2=CC=C3C4=C(C=CC=C4)C=C4C=CC(=C1)C2=C43,-2618.16356
C1=CC2=CC3=C(C=C2C=C1)C1=C(C=CC=C1)C3,-2249.59969
N#CC1=CC=CC=C1,-1112.56548
O=C(C1=CC=CC=C1)C1=CC=CC=C1,-2026.26888
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1,-3784.92644
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6472.43507
C1=CC=C(CCC2=CC=CC=C2)C=C1,-1908.3171
C1=CC=C(C2=CC=CC=C2)C=C1,-1608.38452
CC(C)CBr,-835.86465
ClCCCBr,-939.34621
CC(C)CCBr,-985.74635
O=CC1=CC=C(O)C(Br)=C1,-1739.76962
BrC1=CC=CC=C1,-1026.53096
CCCCBr,-835.82126
ClC1=CC=CC=C1Br,-1280.0183
ClC1=CC=CC(Br)=C1,-1280.05886
ClCBr,-639.06046
ClC(Cl)Br,-892.25078
CCBr,-535.91197
CCCBr,-685.87748
CC(C)Br,-685.98027
CC1=CC=CC(Br)=C1,-1176.69891
CCCC,-626.86978
CCCCO,-922.11802
CCC(C)O,-922.2313
CCCCOCCO,-1516.87781
CCCCOC(C)=O,-1490.50467
CCCCC1=CC=CC=C1,-1417.59224
CC(C)(C)C1=CC=CC=C1,-1417.54483
CCC(C)C1=CC=CC=C1,-1417.55709
CCCC=O,-894.69341
CC12CCC(CC1=O)C2(C)C,-1740.15813
CCCCCC=O,-1194.66064
CCCCCCCC=O,-1494.56477
ClC(Cl)(Cl)Cl,-1190.01632
ClCCBr,-789.29229
CCC(C)(C)Cl,-1030.73718
CC(C)CCl,-880.43853
C1=CC(=CC=C1[N+](=O)[O-])Cl,-1831.51982
COC1=CC=CC=C1Cl,-1516.0144
COC1=CC=CC(Cl)=C1,-1516.1087
COC1=CC=C(Cl)C=C1,-1516.09237
ClC1=CC=CC=C1,-1071.14035
ClC1=CC=CC=C1C1=CC=CC=C1,-1861.9906
ClC1=CC(C2=CC=CC=C2)=CC=C1,-1861.95225
ClC1=CC=C(C2=CC=CC=C2)C=C1,-1861.95575
CCCCCl,-880.38103
CCC(C)Cl,-880.60557
ClC1=CC=C2OC3=CC=CC=C3OC2=C1,-2424.82927
ClC(Br)Br,-847.79122
ClC1=CC=CC=C1OC1=CC=CC=C1,-2156.85091
CCCCCCCl,-1180.2209
CCCCCCl,-1030.29677
CCCC(C)Cl,-1030.52984
CCC(Cl)CC,-1030.55045
CCCCl,-730.43269
CC(C)Cl,-730.62197
C=CCCl,-702.5077
CC1=CC=CC(Cl)=C1,-1221.31177
CC1=CC=CC=C1Cl,-1221.33074
CC1=CC=C(Cl)C=C1,-1221.29977
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4234.29732
C1=CC=C2C(=C1)C=CC1=C3C=CC=CC3=CC=C21,-2372.39818
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-4166.69
